#fileName     (-i) =          Vl-KRbK.dat
#columns      (-c) = 1                   
#reducedMass  (-m) =             26.82628  amu
#nStates  (-n) =                00027
#smoothFactor (-s) =                   10
# 
#<NFunction:<Grid:min=5.669178,max=37.605546,stepSize=0.188973,size=170>>
#<NFunction:<Grid:min=5.669178,max=37.605546,stepSize=0.018797,size=1700>>
# 
#    i  EigenValues (cm-1)
#  -----------------------
    7.5     -206.3117502525
    9.2     -206.3117502525


    7.5     -191.6613938888
    9.2     -191.6613938888


    7.5     -177.5586261055
    9.2     -177.5586261055


    7.5     -164.0028358768
    9.2     -164.0028358768


    7.5     -150.9933920265
    9.2     -150.9933920265


    6     -138.5296269148


    7     -126.6108369146


    8     -115.2362823096


    9     -104.4051832341


   10      -94.1167121515


   11      -84.3699928553


   12      -75.1640970274


   13      -66.4980332375


   14      -58.3707451404


   15      -50.7811028516


   7.0      -43.7278921030
   11.7      -43.7278921030


   7.0      -37.2098031580
   12.0      -37.2098031580


   7.0      -31.2254191517
   12.5      -31.2254191517


   7.0      -25.7731977717
   12.5      -25.7731977717


   7.0      -20.8514527451
   13.0      -20.8514527451


   7.0      -16.4583210865
   13.0      -16.4583210865


   7.0      -12.5917308672
   13.5      -12.5917308672


   7.0       -9.2493481320
   14.0       -9.2493481320


   7.0       -6.4285027291
   14.0       -6.4285027291


   7.0       -4.1260701194
   15.0       -4.1260701194


   7.0       -2.3382790368
   15.0       -2.3382790368


   7.0       -1.0585751348
   18.0       -1.0585751348


