# Complex Numerical Function
# Thu Oct 23 16:11:28 2014
  0.0000000E+00  0.2904051E-03  0.7546471E-10
  0.1000000E+00  0.2901382E-03  0.1629827E-11
  0.2000000E+00  0.2897883E-03  0.3872178E-10
  0.3000000E+00  0.2893477E-03  0.1852013E-10
  0.4000000E+00  0.2888124E-03  0.3544972E-10
  0.5000000E+00  0.2881798E-03  0.2816994E-10
  0.6000000E+00  0.2874474E-03  0.3064454E-10
  0.7000000E+00  0.2866123E-03  0.2940698E-10
  0.8000000E+00  0.2856713E-03  0.2594594E-10
  0.9000000E+00  0.2846219E-03  0.2999983E-10
  0.1000000E+01  0.2834619E-03  0.2695809E-10
  0.1100000E+01  0.2821905E-03  0.3087550E-10
  0.1200000E+01  0.2808077E-03  0.2861644E-10
  0.1300000E+01  0.2793148E-03  0.2980088E-10
  0.1400000E+01  0.2777140E-03  0.2823335E-10
  0.1500000E+01  0.2760082E-03  0.2810037E-10
  0.1600000E+01  0.2742010E-03  0.2869470E-10
  0.1700000E+01  0.2722968E-03  0.2843937E-10
  0.1800000E+01  0.2703008E-03  0.2964278E-10
  0.1900000E+01  0.2682190E-03  0.2884361E-10
  0.2000000E+01  0.2660582E-03  0.2910017E-10
  0.2100000E+01  0.2638251E-03  0.2830508E-10
  0.2200000E+01  0.2615265E-03  0.2825637E-10
  0.2300000E+01  0.2591685E-03  0.2867697E-10
  0.2400000E+01  0.2567564E-03  0.2847553E-10
  0.2500000E+01  0.2542941E-03  0.2942744E-10
  0.2600000E+01  0.2517850E-03  0.2840755E-10
  0.2700000E+01  0.2492314E-03  0.2910088E-10
  0.2800000E+01  0.2466347E-03  0.2784917E-10
  0.2900000E+01  0.2439960E-03  0.2868521E-10
  0.3000000E+01  0.2413155E-03  0.2815276E-10
  0.3100000E+01  0.2385930E-03  0.2884148E-10
  0.3200000E+01  0.2358279E-03  0.2873376E-10
  0.3300000E+01  0.2330193E-03  0.2849457E-10
  0.3400000E+01  0.2301665E-03  0.2863134E-10
  0.3500000E+01  0.2272687E-03  0.2781590E-10
  0.3600000E+01  0.2243257E-03  0.2864792E-10
  0.3700000E+01  0.2213373E-03  0.2783249E-10
  0.3800000E+01  0.2183036E-03  0.2898694E-10
  0.3900000E+01  0.2152248E-03  0.2801853E-10
  0.4000000E+01  0.2121008E-03  0.2873711E-10
  0.4100000E+01  0.2089319E-03  0.2784682E-10
  0.4200000E+01  0.2057182E-03  0.2817798E-10
  0.4300000E+01  0.2024600E-03  0.2802174E-10
  0.4400000E+01  0.1991575E-03  0.2803163E-10
  0.4500000E+01  0.1958112E-03  0.2849469E-10
  0.4600000E+01  0.1924212E-03  0.2783274E-10
  0.4700000E+01  0.1889875E-03  0.2850145E-10
  0.4800000E+01  0.1855094E-03  0.2739041E-10
  0.4900000E+01  0.1819857E-03  0.2830855E-10
  0.5000000E+01  0.1784145E-03  0.2737331E-10
  0.5100000E+01  0.1747935E-03  0.2831756E-10
  0.5200000E+01  0.1711196E-03  0.2766495E-10
  0.5300000E+01  0.1673898E-03  0.2805434E-10
  0.5400000E+01  0.1636004E-03  0.2771989E-10
  0.5500000E+01  0.1597479E-03  0.2750179E-10
  0.5600000E+01  0.1558285E-03  0.2780784E-10
  0.5700000E+01  0.1518388E-03  0.2724189E-10
  0.5800000E+01  0.1477757E-03  0.2808189E-10
  0.5900000E+01  0.1436367E-03  0.2715910E-10
  0.6000000E+01  0.1394198E-03  0.2804628E-10
  0.6100000E+01  0.1351239E-03  0.2696578E-10
  0.6200000E+01  0.1307483E-03  0.2771681E-10
  0.6300000E+01  0.1262929E-03  0.2699131E-10
  0.6400000E+01  0.1217581E-03  0.2748949E-10
  0.6500000E+01  0.1171445E-03  0.2728687E-10
  0.6600000E+01  0.1124532E-03  0.2721006E-10
  0.6700000E+01  0.1076857E-03  0.2742079E-10
  0.6800000E+01  0.1028437E-03  0.2676686E-10
  0.6900000E+01  0.9792937E-04  0.2741445E-10
  0.7000000E+01  0.9294513E-04  0.2652977E-10
  0.7100000E+01  0.8789361E-04  0.2745629E-10
  0.7200000E+01  0.8277754E-04  0.2654975E-10
  0.7300000E+01  0.7759967E-04  0.2731021E-10
  0.7400000E+01  0.7236267E-04  0.2655514E-10
  0.7500000E+01  0.6706912E-04  0.2690884E-10
  0.7600000E+01  0.6172144E-04  0.2663150E-10
  0.7700000E+01  0.5632194E-04  0.2656107E-10
  0.7800000E+01  0.5087274E-04  0.2685353E-10
  0.7900000E+01  0.4537586E-04  0.2630238E-10
  0.8000000E+01  0.3983324E-04  0.2694733E-10
  0.8100000E+01  0.3424681E-04  0.2601838E-10
  0.8200000E+01  0.2861863E-04  0.2682718E-10
  0.8300000E+01  0.2295094E-04  0.2588684E-10
  0.8400000E+01  0.1724626E-04  0.2666374E-10
  0.8500000E+01  0.1150739E-04  0.2598228E-10
  0.8600000E+01  0.5737370E-05  0.2640808E-10
  0.8700000E+01 -0.6062562E-07  0.2609878E-10
  0.8800000E+01 -0.5883369E-05  0.2600400E-10
  0.8900000E+01 -0.1172771E-04  0.2617721E-10
  0.9000000E+01 -0.1759064E-04  0.2565554E-10
  0.9100000E+01 -0.2346938E-04  0.2627793E-10
  0.9200000E+01 -0.2936140E-04  0.2546258E-10
  0.9300000E+01 -0.3526443E-04  0.2625858E-10
  0.9400000E+01 -0.4117649E-04  0.2533780E-10
  0.9500000E+01 -0.4709587E-04  0.2603451E-10
  0.9600000E+01 -0.5302120E-04  0.2531632E-10
  0.9700000E+01 -0.5895144E-04  0.2573737E-10
  0.9800000E+01 -0.6488588E-04  0.2544818E-10
  0.9900000E+01 -0.7082416E-04  0.2542738E-10
  0.1000000E+02 -0.7676630E-04  0.2557679E-10
  0.1010000E+02 -0.8271265E-04  0.2508128E-10
  0.1020000E+02 -0.8866398E-04  0.2560074E-10
  0.1030000E+02 -0.9462138E-04  0.2481759E-10
  0.1040000E+02 -0.1005863E-03  0.2555651E-10
  0.1050000E+02 -0.1065604E-03  0.2473112E-10
  0.1060000E+02 -0.1125456E-03  0.2540679E-10
  0.1070000E+02 -0.1185438E-03  0.2473624E-10
  0.1080000E+02 -0.1245569E-03  0.2509944E-10
  0.1090000E+02 -0.1305866E-03  0.2479156E-10
  0.1100000E+02 -0.1366344E-03  0.2475370E-10
  0.1110000E+02 -0.1427017E-03  0.2490929E-10
  0.1120000E+02 -0.1487897E-03  0.2446500E-10
  0.1130000E+02 -0.1548992E-03  0.2498346E-10
  0.1140000E+02 -0.1610313E-03  0.2421695E-10
  0.1150000E+02 -0.1671868E-03  0.2490969E-10
  0.1160000E+02 -0.1733665E-03  0.2406829E-10
  0.1170000E+02 -0.1795711E-03  0.2474473E-10
  0.1180000E+02 -0.1858013E-03  0.2408378E-10
  0.1190000E+02 -0.1920580E-03  0.2450494E-10
  0.1200000E+02 -0.1983417E-03  0.2416859E-10
  0.1210000E+02 -0.2046529E-03  0.2416611E-10
  0.1220000E+02 -0.2109920E-03  0.2423497E-10
  0.1230000E+02 -0.2173593E-03  0.2383945E-10
  0.1240000E+02 -0.2237545E-03  0.2430311E-10
  0.1250000E+02 -0.2301776E-03  0.2363572E-10
  0.1260000E+02 -0.2366282E-03  0.2429120E-10
  0.1270000E+02 -0.2431056E-03  0.2350745E-10
  0.1280000E+02 -0.2496091E-03  0.2411109E-10
  0.1290000E+02 -0.2561378E-03  0.2345798E-10
  0.1300000E+02 -0.2626905E-03  0.2385608E-10
  0.1310000E+02 -0.2692662E-03  0.2355253E-10
  0.1320000E+02 -0.2758631E-03  0.2360083E-10
  0.1330000E+02 -0.2824796E-03  0.2366136E-10
  0.1340000E+02 -0.2891135E-03  0.2328928E-10
  0.1350000E+02 -0.2957624E-03  0.2367063E-10
  0.1360000E+02 -0.3024235E-03  0.2303537E-10
  0.1370000E+02 -0.3090938E-03  0.2365765E-10
  0.1380000E+02 -0.3157701E-03  0.2295773E-10
  0.1390000E+02 -0.3224488E-03  0.2357058E-10
  0.1400000E+02 -0.3291266E-03  0.2293859E-10
  0.1410000E+02 -0.3358001E-03  0.2330508E-10
  0.1420000E+02 -0.3424657E-03  0.2294985E-10
  0.1430000E+02 -0.3491201E-03  0.2301435E-10
  0.1440000E+02 -0.3557604E-03  0.2307879E-10
  0.1450000E+02 -0.3623833E-03  0.2280068E-10
  0.1460000E+02 -0.3689861E-03  0.2317428E-10
  0.1470000E+02 -0.3755661E-03  0.2256789E-10
  0.1480000E+02 -0.3821205E-03  0.2310123E-10
  0.1490000E+02 -0.3886469E-03  0.2240677E-10
  0.1500000E+02 -0.3951428E-03  0.2299537E-10
  0.1510000E+02 -0.4016060E-03  0.2244902E-10
  0.1520000E+02 -0.4080344E-03  0.2286070E-10
  0.1530000E+02 -0.4144261E-03  0.2252624E-10
  0.1540000E+02 -0.4207792E-03  0.2257362E-10
  0.1550000E+02 -0.4270925E-03  0.2254695E-10
  0.1560000E+02 -0.4333646E-03  0.2229446E-10
  0.1570000E+02 -0.4395945E-03  0.2264374E-10
  0.1580000E+02 -0.4457813E-03  0.2217505E-10
  0.1590000E+02 -0.4519243E-03  0.2271245E-10
  0.1600000E+02 -0.4580229E-03  0.2206379E-10
  0.1610000E+02 -0.4640766E-03  0.2256817E-10
  0.1620000E+02 -0.4700849E-03  0.2197238E-10
  0.1630000E+02 -0.4760475E-03  0.2238572E-10
  0.1640000E+02 -0.4819641E-03  0.2209238E-10
  0.1650000E+02 -0.4878345E-03  0.2226064E-10
  0.1660000E+02 -0.4936589E-03  0.2224716E-10
  0.1670000E+02 -0.4994374E-03  0.2200886E-10
  0.1680000E+02 -0.5051704E-03  0.2224836E-10
  0.1690000E+02 -0.5108585E-03  0.2176107E-10
  0.1700000E+02 -0.5165024E-03  0.2228436E-10
  0.1710000E+02 -0.5221029E-03  0.2175511E-10
  0.1720000E+02 -0.5276609E-03  0.2232825E-10
  0.1730000E+02 -0.5331773E-03  0.2178740E-10
  0.1740000E+02 -0.5386528E-03  0.2213517E-10
  0.1750000E+02 -0.5440882E-03  0.2175781E-10
  0.1760000E+02 -0.5494841E-03  0.2189804E-10
  0.1770000E+02 -0.5548410E-03  0.2190877E-10
  0.1780000E+02 -0.5601591E-03  0.2182634E-10
  0.1790000E+02 -0.5654388E-03  0.2210643E-10
  0.1800000E+02 -0.5706800E-03  0.2168160E-10
  0.1810000E+02 -0.5758827E-03  0.2206821E-10
  0.1820000E+02 -0.5810468E-03  0.2149494E-10
